Date,Close,Volume,Open,High,Low,DividendYield,Signal,SMA20,SMA50
2026-02-02,308.14,9839360,304.46,309.3,301.37,1.9471668722009476,1,,
2026-02-03,314.85,12687960,309.73,316.25,309.095,1.9056693663649353,-1,,
2026-02-04,317.27,9848802,314.405,319.305,314.405,1.891133734673937,-1,,
2026-02-05,310.16,9387999,315.0,316.01,305.54,1.9344854268764509,1,,
2026-02-06,322.4,17797440,314.71,324.245,314.71,1.861042183622829,-1,,
2026-02-09,322.1,11477470,321.34,326.4,320.1149,1.8627755355479663,-1,,
2026-02-10,318.28,9902224,322.55,326.125,315.1201,1.8851325876586655,-1,,
2026-02-11,310.82,8703519,323.24,325.28,308.7301,1.9303777105720354,1,,
2026-02-12,302.64,13443360,312.275,313.615,300.02,1.9825535289452818,1,,
2026-02-13,302.55,9114526,298.52,304.29,296.52,1.9831432821021315,1,,
