Date,Close,Volume,Open,High,Low
02/13/2026,302.55,9114526,298.52,304.29,296.52
02/12/2026,302.64,13443360,312.275,313.615,300.02
02/11/2026,310.82,8703519,323.24,325.28,308.7301
02/10/2026,318.28,9902224,322.55,326.125,315.1201
02/09/2026,322.10,11477470,321.34,326.40,320.1149
02/06/2026,322.40,17797440,314.71,324.245,314.71
02/05/2026,310.16,9387999,315.00,316.01,305.54
02/04/2026,317.27,9848802,314.405,319.305,314.405
02/03/2026,314.85,12687960,309.73,316.25,309.095
02/02/2026,308.14,9839360,304.46,309.30,301.37
